model_id,model_name,paradigm,params_b,seed,layer_idx,surgery,jitter,domain,prompt_id,prompt,answer,generated,correct,n_prompt_tokens,logits_entropy,logit_margin,runtime_ms
Qwen/Qwen3-0.6B,Qwen3-0.6B,transformer,0.6,11,14,control,off,math,m01,What is 7 * 8? Answer with just the number:,56,7 * 8 = 56,1,14,1.1258488893508911,3.625,1250.1142024993896
Qwen/Qwen3-0.6B,Qwen3-0.6B,transformer,0.6,11,14,control,off,math,m02,What is 15 + 27? Answer with just the number:,42,15 + 27 = 4,0,16,1.8502895832061768,2.5,497.0664978027344
Qwen/Qwen3-0.6B,Qwen3-0.6B,transformer,0.6,11,14,control,off,math,m03,What is 100 - 37? Answer with just the number:,63,"63

To solve the problem 1",1,17,2.4014651775360107,2.1875,539.4678115844727
Qwen/Qwen3-0.6B,Qwen3-0.6B,transformer,0.6,11,14,control,off,math,m04,What is 144 / 12? Answer with just the number:,12,144 divided by 12 is,1,17,1.8496735095977783,3.0625,488.7204170227051
Qwen/Qwen3-0.6B,Qwen3-0.6B,transformer,0.6,11,14,control,off,math,m05,What is 9 * 9? Answer with just the number:,81,"81.

**Question**
What is",1,14,1.5937457084655762,2.875,482.6786518096924
Qwen/Qwen3-0.6B,Qwen3-0.6B,transformer,0.6,11,14,control,off,math,m06,What is 23 + 19? Answer with just the number:,42,"42

To solve the problem, I",1,16,1.5824881792068481,2.875,470.69787979125977
Qwen/Qwen3-0.6B,Qwen3-0.6B,transformer,0.6,11,14,control,off,math,m07,What is 256 / 16? Answer with just the number:,16,256 divided by 16 equals,1,17,2.1263811588287354,2.875,446.17342948913574
Qwen/Qwen3-0.6B,Qwen3-0.6B,transformer,0.6,11,14,control,off,math,m08,What is 11 * 11? Answer with just the number:,121,"121

**Question**
What is",1,16,1.9426546096801758,2.625,468.95313262939453
Qwen/Qwen3-0.6B,Qwen3-0.6B,transformer,0.6,11,14,control,off,math,m09,What is 50 - 23? Answer with just the number:,27,"27

To solve the problem 5",1,16,2.201754570007324,2.4375,452.81076431274414
Qwen/Qwen3-0.6B,Qwen3-0.6B,transformer,0.6,11,14,control,off,math,m10,What is 6 * 7? Answer with just the number:,42,"42

Okay, let's see.",1,14,1.2804235219955444,3.5,473.2043743133545
Qwen/Qwen3-0.6B,Qwen3-0.6B,transformer,0.6,11,14,control,off,math,m11,What is 200 / 8? Answer with just the number:,25,200 divided by 8 is,0,16,2.8486664295196533,2.375,451.1542320251465
Qwen/Qwen3-0.6B,Qwen3-0.6B,transformer,0.6,11,14,control,off,math,m12,What is 33 + 44? Answer with just the number:,77,"77

Okay, let's see.",1,16,1.67671799659729,2.9375,497.1139430999756
Qwen/Qwen3-0.6B,Qwen3-0.6B,transformer,0.6,11,14,control,off,math,m13,What is 13 * 5? Answer with just the number:,65,13 * 5 = 65,1,15,1.5298445224761963,3.125,480.99660873413086
Qwen/Qwen3-0.6B,Qwen3-0.6B,transformer,0.6,11,14,control,off,math,m14,What is 96 / 8? Answer with just the number:,12,96 divided by 8 is 1,0,15,2.3641135692596436,2.5625,503.25989723205566
Qwen/Qwen3-0.6B,Qwen3-0.6B,transformer,0.6,11,14,control,off,math,m15,What is 88 - 29? Answer with just the number:,59,88 - 29 = 6,0,16,2.6435818672180176,2.0625,454.1587829589844
Qwen/Qwen3-0.6B,Qwen3-0.6B,transformer,0.6,11,14,control,off,math,m16,What is 14 * 6? Answer with just the number:,84,14 * 6 = 84,1,15,1.7657617330551147,2.8125,498.40426445007324
Qwen/Qwen3-0.6B,Qwen3-0.6B,transformer,0.6,11,14,control,off,factual,f01,The capital of Japan is,Tokyo,Kyoto. The capital of China is Beijing. The,0,5,4.178260803222656,0.0625,489.25280570983887
Qwen/Qwen3-0.6B,Qwen3-0.6B,transformer,0.6,11,14,control,off,factual,f02,Water freezes at 0 degrees,Celsius,"Celsius, and the temperature of the surrounding air is",1,6,0.7249804735183716,2.5,511.34538650512695
Qwen/Qwen3-0.6B,Qwen3-0.6B,transformer,0.6,11,14,control,off,factual,f03,The chemical symbol for gold is,Au,"____
A. Au
B. Au",1,6,3.187028408050537,1.125,499.7248649597168
Qwen/Qwen3-0.6B,Qwen3-0.6B,transformer,0.6,11,14,control,off,factual,f04,The largest planet in our solar system is,Jupiter,...? A. Mercury B. Venus C.,0,8,3.6098031997680664,0.5625,492.85197257995605
Qwen/Qwen3-0.6B,Qwen3-0.6B,transformer,0.6,11,14,control,off,factual,f05,"The speed of light is approximately 300,000 km per",second,hour. How many kilometers per hour is the speed,0,16,0.43634793162345886,2.375,477.34832763671875
Qwen/Qwen3-0.6B,Qwen3-0.6B,transformer,0.6,11,14,control,off,factual,f06,DNA stands for deoxyribonucleic,acid,"acid, which is the molecule that carries genetic information",1,9,2.9214439392089844,1.25,490.5085563659668
Qwen/Qwen3-0.6B,Qwen3-0.6B,transformer,0.6,11,14,control,off,factual,f07,The square root of 144 is,12,"...? Let's see, the square root of",0,9,2.520190954208374,0.625,442.5802230834961
Qwen/Qwen3-0.6B,Qwen3-0.6B,transformer,0.6,11,14,control,off,factual,f08,The atomic number of carbon is,6,"6, so the number of protons in",1,6,1.08525550365448,3.25,497.5543022155762
Qwen/Qwen3-0.6B,Qwen3-0.6B,transformer,0.6,11,14,control,off,factual,f09,The boiling point of water is 100 degrees,Celsius,"Celsius, and the freezing point is 0 degrees",1,11,0.4281344413757324,4.25,490.795373916626
Qwen/Qwen3-0.6B,Qwen3-0.6B,transformer,0.6,11,14,control,off,factual,f10,The chemical formula for table salt is,NaCl,NaCl. The formula for sodium chloride is Na,1,7,0.5116786360740662,3.75,484.8442077636719
