model_name,group,params_b,seed,layer_idx,layer_frac,layer_target,surgery_strength,jitter_strength,condition,domain,prompt_id,split,answer,generated,correct,confidence
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,math,m01,cal,56,the number: 56,1,1.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,math,m02,cal,42,: 15 + 27 = 4,0,0.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,math,m03,cal,63,63,1,1.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,math,m04,cal,12,12,1,1.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,math,m05,cal,81,the number: 81,1,1.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,math,m06,cal,42,: 23 + 19 = 4,0,0.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,math,m07,cal,16,"16
What is 256",1,1.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,math,m08,cal,121,: 121,1,1.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,math,m09,hold,15,": 15
What is 15 /",1,1.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,math,m10,hold,85,number: 37 + 48 = 8,0,0.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,math,m11,hold,112,the number: 112,1,1.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,math,m12,hold,187,187,1,1.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,factual,f01,cal,Tokyo,"of Japan is Tokyo, which is also the largest city in the",1,1.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,factual,f02,cal,Celsius,0 degrees Celsius (0° C). This is also equivalent,1,1.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,factual,f03,cal,Au,"gold is Au, which comes from the Latin word for gold",1,1.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,factual,f04,cal,Jupiter,"Jupiter, which is 11 times the size",1,1.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,factual,f05,cal,second,second. Express this speed in meters per microsecond,1,1.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,factual,f06,cal,acid,for deoxyribonucleic acid. It is the chemical that carries the genetic,1,1.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,factual,f07,cal,12,"root of 144 is (　　)
A: 12",1,1.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,factual,f08,cal,6,"The atomic number of carbon is 6, and the number of neutrons in",1,1.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,factual,f09,hold,Pacific,"Pacific Ocean, with an area of approximately 1",1,1.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,factual,f10,hold,diamond,"substance is diamond, and the hardest synthetic substance is silicon carb",1,1.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,factual,f11,hold,Na,"is Na, and the chemical symbol for chlorine is Cl",1,1.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,factual,f12,hold,Sun,"Sun, which is approximately 150,",1,1.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,logic,l01,cal,water,"flowers need water, then all roses need water. This is an example of which type of",1,1.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,logic,l02,cal,Tuesday,"If today is Monday, then tomorrow is (　　)
A: Monday
B:",0,0.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,logic,l03,cal,12,A dozen eggs is exactly 12 eggs. If eggs are priced at,1,1.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,logic,l04,cal,equilateral,an equilateral triangle. If a triangle has angles,1,1.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,logic,l05,cal,decrease,The opposite of 'increase' is 'decrease'. The opposite of 'decrease,1,1.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,logic,l06,cal,100,"Half of 200 is increased by 25%, and then the result",0,0.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,logic,l07,cal,7,"21, then x equals 7. What is the value of x if",1,0.5
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,logic,l08,cal,32,32. This is because each number in,1,1.0
Qwen2.5-7B,base_transformer,7.0,11,5,0.185,0.2,0.0,0.0,control,logic,l09,hold,120,120 km. If the car increases,1,1.0
